# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  157       4.976401542544e-10       1.431846668073e-13      -5.603319487004e-12       1.846893064900e-15       5.298689600285e-12       5.714140915007e-13      -3.844202854362e-15 
  158       5.009014105867e-10       1.420094074840e-13      -5.586523284919e-12       1.872039747432e-15       5.209918021581e-12       5.635942789434e-13      -3.773283613957e-15 
  159       5.041307248554e-10       1.407857698576e-13      -5.566546674221e-12       1.897391873797e-15       5.123024640771e-12       5.559080032577e-13      -3.702898850543e-15 
  160       5.073265919997e-10       1.395159790854e-13      -5.543368247486e-12       1.922949436145e-15       5.037873184368e-12       5.483457282962e-13      -3.633079528167e-15 
  161       5.104875724384e-10       1.382023194868e-13      -5.516968263242e-12       1.948712379426e-15       4.954343531740e-12       5.408991416532e-13      -3.563852910530e-15 
  162       5.136126392666e-10       1.368469340947e-13      -5.487327764310e-12       1.974680583652e-15       4.872420593510e-12       5.335679082483e-13      -3.495236104027e-15 
  163       5.167008604349e-10       1.354520107634e-13      -5.454429458998e-12       2.000853878607e-15       4.792112879905e-12       5.263534816606e-13      -3.427241846954e-15 
  164       5.197512889895e-10       1.340198473359e-13      -5.418258050754e-12       2.027232048401e-15       4.713424353426e-12       5.192569646594e-13      -3.359880467299e-15 
  165       5.227629628196e-10       1.325528531592e-13      -5.378800277547e-12       2.053814830680e-15       4.636354325882e-12       5.122791008909e-13      -3.293159823994e-15 
  166       5.257349044042e-10       1.310535505977e-13      -5.336044951236e-12       2.080601915845e-15       4.560897355435e-12       5.054202665650e-13      -3.227085248175e-15 
